0.500000	0.000000	0.499835
0.499013	0.031395	0.497862
0.496057	0.062667	0.493925
0.491144	0.093691	0.488038
0.484292	0.124345	0.480225
0.475528	0.154508	0.470517
0.464888	0.184062	0.458952
0.452414	0.212890	0.445576
0.438153	0.240877	0.430441
0.422164	0.267913	0.413608
0.404508	0.293893	0.395142
0.385257	0.318712	0.375117
0.364484	0.342274	0.353611
0.342274	0.364484	0.330710
0.318712	0.385257	0.306504
0.293893	0.404508	0.281088
0.267913	0.422164	0.254562
0.240877	0.438153	0.227032
0.212890	0.452414	0.198606
0.184062	0.464888	0.169397
0.154508	0.475528	0.139518
0.124345	0.484292	0.109089
0.093691	0.491144	0.078230
0.062667	0.496057	0.047062
0.031395	0.499013	0.015708
0.000000	0.500000	-0.015708
-0.031395	0.499013	-0.047062
-0.062667	0.496057	-0.078230
-0.093691	0.491144	-0.109089
-0.124345	0.484292	-0.139518
-0.154508	0.475528	-0.169397
-0.184062	0.464888	-0.198606
-0.212890	0.452414	-0.227032
-0.240877	0.438153	-0.254562
-0.267913	0.422164	-0.281088
-0.293893	0.404508	-0.306504
-0.318712	0.385257	-0.330710
-0.342274	0.364484	-0.353611
-0.364484	0.342274	-0.375117
-0.385257	0.318712	-0.395142
-0.404508	0.293893	-0.413608
-0.422164	0.267913	-0.430441
-0.438153	0.240877	-0.445576
-0.452414	0.212890	-0.458952
-0.464888	0.184062	-0.470517
-0.475528	0.154508	-0.480225
-0.484292	0.124345	-0.488038
-0.491144	0.093691	-0.493925
-0.496057	0.062667	-0.497862
-0.499013	0.031395	-0.499835
-0.500000	0.000000	-0.499835
-0.499013	-0.031395	-0.497862
-0.496057	-0.062667	-0.493925
-0.491144	-0.093691	-0.488038
-0.484292	-0.124345	-0.480225
-0.475528	-0.154508	-0.470517
-0.464888	-0.184062	-0.458952
-0.452414	-0.212890	-0.445576
-0.438153	-0.240877	-0.430441
-0.422164	-0.267913	-0.413608
-0.404508	-0.293893	-0.395142
-0.385257	-0.318712	-0.375117
-0.364484	-0.342274	-0.353611
-0.342274	-0.364484	-0.330710
-0.318712	-0.385257	-0.306504
-0.293893	-0.404508	-0.281088
-0.267913	-0.422164	-0.254562
-0.240877	-0.438153	-0.227032
-0.212890	-0.452414	-0.198606
-0.184062	-0.464888	-0.169397
-0.154508	-0.475528	-0.139518
-0.124345	-0.484292	-0.109089
-0.093691	-0.491144	-0.078230
-0.062667	-0.496057	-0.047062
-0.031395	-0.499013	-0.015708
-0.000000	-0.500000	0.015708
0.031395	-0.499013	0.047062
0.062667	-0.496057	0.078230
0.093691	-0.491144	0.109089
0.124345	-0.484292	0.139518
0.154508	-0.475528	0.169397
0.184062	-0.464888	0.198606
0.212890	-0.452414	0.227032
0.240877	-0.438153	0.254562
0.267913	-0.422164	0.281088
0.293893	-0.404508	0.306504
0.318712	-0.385257	0.330710
0.342274	-0.364484	0.353611
0.364484	-0.342274	0.375117
0.385257	-0.318712	0.395142
0.404508	-0.293893	0.413608
0.422164	-0.267913	0.430441
0.438153	-0.240877	0.445576
0.452414	-0.212890	0.458952
0.464888	-0.184062	0.470517
0.475528	-0.154509	0.480225
0.484292	-0.124345	0.488038
0.491144	-0.093691	0.493925
0.496057	-0.062667	0.497862
0.499013	-0.031395	0.499835
